350	5	32
0	1	0.00000 0.00000 0.00033 0.00000 0.00190 0.00000 0.00614 0.00000 0.01050 0.00000 0.01530 0.00000 0.01624 0.00000 0.02437 0.00000 0.07742 0.00000 0.09155 0.00000 0.09169 0.00000 0.09912 0.00000 0.37848 0.00000 0.13112 0.00000 0.05102 0.00000 0.00480 0.00000 
1	1	0.00005 0.00000 0.00062 0.00000 0.00287 0.00000 0.00797 0.00000 0.00940 0.00000 0.00680 0.00000 0.00857 0.00000 0.01038 0.00000 0.01346 0.00000 0.01777 0.00000 0.02116 0.00000 0.02679 0.00000 0.14450 0.00000 0.49056 0.00000 0.17450 0.00000 0.06459 0.00000 
2	1	0.00002 0.00000 0.00087 0.00000 0.00372 0.00000 0.01082 0.00000 0.02056 0.00000 0.02264 0.00000 0.02361 0.00000 0.02575 0.00000 0.03136 0.00000 0.08761 0.00000 0.13835 0.00000 0.11965 0.00000 0.26520 0.00000 0.14656 0.00000 0.09193 0.00000 0.01134 0.00000 
3	1	0.00000 0.00000 0.00032 0.00000 0.00459 0.00000 0.03505 0.00000 0.03230 0.00000 0.03162 0.00000 0.03233 0.00000 0.03939 0.00000 0.03840 0.00000 0.04436 0.00000 0.16650 0.00000 0.14219 0.00000 0.13788 0.00000 0.18331 0.00000 0.08435 0.00000 0.02739 0.00000 
4	1	0.00000 0.00000 0.00000 0.00000 0.00057 0.00000 0.00509 0.00000 0.03927 0.00000 0.11137 0.00000 0.05300 0.00000 0.03152 0.00000 0.03200 0.00000 0.03875 0.00000 0.05931 0.00000 0.08852 0.00000 0.08767 0.00000 0.30791 0.00000 0.13890 0.00000 0.00609 0.00000 
5	1	0.00000 0.00000 0.00017 0.00000 0.00121 0.00000 0.00513 0.00000 0.02063 0.00000 0.02749 0.00000 0.02546 0.00000 0.02537 0.00000 0.03301 0.00000 0.04106 0.00000 0.04001 0.00000 0.04948 0.00000 0.07679 0.00000 0.36460 0.00000 0.28057 0.00000 0.00900 0.00000 
6	1	0.00000 0.00000 0.00017 0.00000 0.00139 0.00000 0.00671 0.00000 0.02604 0.00000 0.02802 0.00000 0.02425 0.00000 0.02524 0.00000 0.03319 0.00000 0.03393 0.00000 0.04142 0.00000 0.05166 0.00000 0.10952 0.00000 0.27029 0.00000 0.33948 0.00000 0.00867 0.00000 
7	1	0.00007 0.00000 0.00115 0.00000 0.00818 0.00000 0.02389 0.00000 0.03924 0.00000 0.04393 0.00000 0.04580 0.00000 0.03727 0.00000 0.03700 0.00000 0.04164 0.00000 0.04847 0.00000 0.05297 0.00000 0.21828 0.00000 0.30067 0.00000 0.09600 0.00000 0.00543 0.00000 
8	1	0.00000 0.00000 0.00003 0.00000 0.00104 0.00000 0.00456 0.00000 0.01535 0.00000 0.02702 0.00000 0.03860 0.00000 0.05992 0.00000 0.12567 0.00000 0.19167 0.00000 0.12384 0.00000 0.10355 0.00000 0.15247 0.00000 0.12314 0.00000 0.02815 0.00000 0.00500 0.00000 
